# o2049
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.600000	2.607681
2	1.400000	0.894427
4	1.000000	0.707107
8	1.400000	0.547723
16	2.200000	0.836660
32	5.000000	1.224745
64	8.400000	1.341641
128	21.000000	2.738613
256	44.200000	13.160547
512	103.000000	7.314369
1024	242.000000	32.916561
2048	533.800000	27.289192
4096	1300.000000	147.190353
8192	2930.000000	185.049993
16384	6712.800000	472.071181
32768	14747.800000	1301.336121
65536	32889.600000	1097.798843
131072	74047.200000	1587.621397
262144	164002.400000	10292.187076
524288	405752.333333	5482.482680
1048576	1074168.000000	nan
2097152	2608762.000000	nan
4194304	5858072.000000	nan
8388608	12705908.000000	nan
16777216	27199867.000000	nan
33554432	56707382.000000	nan
67108864	128292187.000000	nan
