# o257
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	9.800000	13.863621
2	1.200000	0.447214
4	3.200000	1.095445
8	2.800000	0.836660
16	3.400000	0.547723
32	7.800000	2.949576
64	11.400000	0.547723
128	18.800000	0.836660
256	49.800000	7.463243
512	109.800000	16.664333
1024	201.800000	3.834058
2048	487.600000	55.039077
4096	1023.000000	136.729660
8192	2359.200000	179.271303
16384	4579.800000	356.176501
32768	9819.800000	965.612086
65536	21221.000000	1501.742821
131072	41326.200000	2249.454756
262144	92857.000000	438.921405
524288	208702.000000	0.000000
1048576	462041.000000	0.000000
2097152	1172271.000000	0.000000
4194304	2554510.000000	0.000000
8388608	5801148.000000	0.000000
16777216	12881799.000000	0.000000
33554432	27680930.000000	0.000000
67108864	62697734.000000	0.000000
