# o4
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.400000	0.547723
2	1.200000	0.836660
4	3.000000	2.915476
8	2.600000	0.547723
16	5.200000	1.095445
32	20.000000	23.653752
64	21.200000	4.816638
128	26.600000	3.130495
256	77.200000	5.263079
512	149.200000	13.217413
1024	237.000000	23.989581
2048	448.200000	57.503913
4096	961.400000	120.858595
8192	1794.000000	134.093251
16384	3678.600000	275.899076
32768	9074.200000	1009.711692
65536	20974.200000	2010.063606
131072	46157.600000	4418.831214
262144	114144.000000	7408.011069
524288	282243.000000	nan
1048576	724810.000000	nan
2097152	1451466.000000	nan
4194304	4007738.000000	nan
