# std
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.800000	3.834058
2	1.400000	0.547723
4	1.200000	0.836660
8	1.200000	0.447214
16	1.000000	0.707107
32	1.600000	0.547723
64	1.600000	0.547723
128	1.800000	0.836660
256	2.400000	0.547723
512	2.800000	1.095445
1024	4.600000	1.140175
2048	9.200000	11.099550
4096	7.200000	1.303840
8192	19.000000	3.391165
16384	34.800000	8.642916
32768	60.400000	10.691118
65536	114.800000	29.676590
131072	207.800000	5.805170
262144	411.600000	23.287336
524288	881.333333	247.395096
1048576	1851.000000	nan
2097152	2868.000000	nan
4194304	7210.000000	nan
8388608	10925.000000	nan
16777216	22647.000000	nan
33554432	44042.000000	nan
67108864	91381.000000	nan
