# std
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	19.200000	36.231202
2	2.800000	0.447214
4	7.800000	6.260990
8	7.400000	0.894427
16	13.600000	1.949359
32	25.800000	4.086563
64	48.800000	2.049390
128	89.200000	26.957374
256	213.200000	42.587557
512	407.400000	65.217329
1024	807.600000	167.814779
2048	1472.800000	310.634351
4096	2918.000000	507.533250
8192	6936.600000	1016.373357
16384	14382.600000	1709.773903
32768	27743.400000	3464.359652
65536	52567.000000	4615.625147
131072	121951.000000	2840.137057
262144	261808.333333	8294.394272
524288	569552.000000	0.000000
1048576	1270575.000000	0.000000
2097152	2826415.000000	0.000000
4194304	6212576.000000	0.000000
8388608	13703615.000000	0.000000
16777216	30719219.000000	0.000000
33554432	68089092.000000	0.000000
67108864	160808466.000000	0.000000
