# std
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.800000	3.492850
2	1.400000	0.547723
4	2.200000	0.836660
8	2.400000	0.547723
16	4.200000	0.447214
32	8.800000	2.588436
64	19.400000	1.140175
128	34.200000	22.807893
256	66.400000	6.618157
512	145.000000	14.422205
1024	237.000000	44.888751
2048	417.800000	60.602805
4096	802.400000	43.957934
8192	1797.400000	170.617408
16384	4177.400000	511.844996
32768	8902.000000	1297.624946
65536	24835.000000	2408.051598
131072	53912.400000	4662.604187
262144	140078.333333	9532.647184
524288	362611.000000	nan
1048576	852068.000000	nan
2097152	1947163.000000	nan
4194304	4853584.000000	nan
