# o2049
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.200000	3.271085
2	1.400000	0.547723
4	2.400000	0.547723
8	2.800000	0.447214
16	3.000000	0.000000
32	4.800000	0.836660
64	11.800000	5.403702
128	16.400000	2.073644
256	40.000000	4.527693
512	99.800000	8.288546
1024	224.000000	17.000000
2048	612.200000	116.720607
4096	1463.400000	255.961521
8192	3167.600000	518.598400
16384	7094.000000	1238.671264
32768	15007.600000	1325.491720
65536	33129.200000	473.308779
131072	77252.000000	6292.677212
262144	162138.333333	1321.545055
524288	407865.000000	nan
1048576	1076785.000000	nan
2097152	2633352.000000	nan
4194304	5896939.000000	nan
8388608	12848853.000000	nan
16777216	28754962.000000	nan
33554432	58595576.000000	nan
