# std
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	6.600000	11.436783
2	2.000000	0.707107
4	2.400000	0.547723
8	3.600000	0.547723
16	6.000000	0.707107
32	10.000000	0.000000
64	22.600000	11.458621
128	32.600000	3.049590
256	65.000000	4.062019
512	114.800000	17.584084
1024	234.000000	11.937336
2048	414.400000	19.099738
4096	927.200000	151.491584
8192	2164.600000	433.828077
16384	4224.600000	746.262889
32768	8907.600000	1407.684730
65536	22318.800000	1895.320870
131072	52213.200000	1990.237096
262144	133290.666667	5938.106629
524288	335080.000000	nan
1048576	787030.000000	nan
2097152	1833070.000000	nan
4194304	4222157.000000	nan
8388608	9870483.000000	nan
16777216	23482724.000000	nan
33554432	57377977.000000	nan
