# o257
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.800000	0.447214
2	1.800000	1.095445
4	2.200000	0.447214
8	2.800000	0.447214
16	3.600000	0.547723
32	5.400000	0.547723
64	9.200000	1.923538
128	17.400000	1.516575
256	38.200000	5.585696
512	95.400000	5.941380
1024	184.600000	11.058933
2048	349.800000	48.022911
4096	735.800000	79.603392
8192	1418.600000	197.345636
16384	2761.800000	431.913417
32768	5685.600000	360.623488
65536	12280.800000	1149.220475
131072	29156.200000	2310.256198
262144	69405.666667	4228.172458
524288	167327.000000	nan
1048576	444853.000000	nan
2097152	1009320.000000	nan
4194304	2385092.000000	nan
8388608	5063606.000000	nan
16777216	11948210.000000	nan
33554432	24206847.000000	nan
