# table-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.600000	2.509980
2	0.800000	0.447214
4	1.200000	1.095445
8	1.800000	0.447214
16	2.000000	1.000000
32	3.200000	1.303840
64	8.000000	4.062019
128	12.200000	1.303840
256	23.200000	4.024922
512	36.600000	7.700649
1024	73.200000	16.177144
2048	113.400000	2.966479
4096	207.600000	8.848729
8192	508.200000	114.173990
16384	1311.800000	267.361553
32768	2104.800000	213.999299
65536	6371.600000	695.933402
131072	15065.600000	813.050306
262144	36191.000000	2126.965326
524288	72851.000000	1599.930155
1048576	154774.800000	1129.319574
2097152	318954.400000	4098.825661
4194304	645807.600000	8151.748634
8388608	1363908.400000	53091.412256
