# tree-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.600000	1.516575
2	1.000000	0.707107
4	1.000000	0.707107
8	1.200000	0.447214
16	2.600000	0.547723
32	3.600000	0.894427
64	14.600000	7.503333
128	24.200000	6.058052
256	54.400000	11.036304
512	103.800000	10.232302
1024	202.400000	35.409038
2048	402.000000	33.593154
4096	807.800000	46.343284
8192	1801.000000	235.978813
16384	4043.400000	511.630531
32768	9618.800000	1799.775180
65536	21764.800000	918.299352
131072	59292.000000	2032.160304
262144	142642.000000	3297.419370
524288	354530.200000	4572.744384
1048576	844049.600000	10521.010636
2097152	1938121.800000	34839.232163
4194304	4428053.400000	39364.325484
8388608	10131661.000000	46387.514570
