# tree-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.200000	0.836660
2	1.000000	1.000000
4	0.600000	0.547723
8	1.400000	0.547723
16	2.400000	0.894427
32	4.000000	1.000000
64	13.200000	9.628084
128	17.800000	1.483240
256	39.200000	4.438468
512	75.000000	6.442049
1024	141.800000	24.732570
2048	264.800000	43.407373
4096	525.600000	31.603797
8192	1024.200000	48.597325
16384	2329.800000	270.722552
32768	4887.000000	923.373435
65536	11583.800000	453.203266
131072	23662.000000	1333.540026
262144	49445.600000	1855.604026
524288	106454.800000	3372.338832
1048576	219491.800000	4273.172440
2097152	456884.600000	3857.599422
4194304	952404.600000	4504.033170
8388608	2003109.600000	11357.386486
