# trie-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.800000	1.303840
2	1.200000	0.836660
4	1.600000	0.547723
8	2.600000	0.547723
16	4.000000	1.000000
32	9.400000	2.073644
64	21.400000	2.607681
128	48.200000	3.033150
256	107.000000	13.171940
512	229.400000	13.612494
1024	419.800000	59.217396
2048	791.600000	72.410635
4096	1659.000000	131.694723
8192	3408.800000	96.967520
16384	7853.400000	892.181484
32768	17809.000000	1239.323404
65536	36381.200000	1451.359259
131072	85227.600000	2125.527887
262144	186967.600000	3637.871328
524288	438341.200000	4217.503966
1048576	1030825.000000	11011.898338
2097152	2434951.200000	36270.041980
4194304	5608555.600000	31048.869421
8388608	12625626.600000	44621.554397
