# Closed
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.600000	1.949359
2	1.800000	0.447214
4	2.200000	0.447214
8	4.600000	0.547723
16	6.800000	0.447214
32	11.600000	0.547723
64	21.400000	1.673320
128	35.000000	11.895377
256	64.400000	11.674759
512	90.000000	0.707107
1024	191.600000	22.501111
2048	357.000000	50.309045
4096	664.800000	22.785961
8192	1483.400000	248.620796
16384	2999.800000	231.703906
32768	6424.800000	853.313659
65536	15298.600000	1173.464870
131072	33568.800000	1928.284652
262144	70803.600000	3523.670146
524288	174540.666667	4785.534174
1048576	396827.000000	0.000000
2097152	875551.000000	0.000000
4194304	1799283.000000	0.000000
8388608	3253583.000000	0.000000
