# Open
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.000000	2.345208
2	2.000000	0.707107
4	2.600000	1.140175
8	4.000000	0.707107
16	8.800000	2.949576
32	15.400000	0.894427
64	30.200000	1.788854
128	51.800000	9.628084
256	84.200000	7.823043
512	141.800000	2.280351
1024	331.400000	59.504622
2048	546.800000	50.385514
4096	975.000000	26.814175
8192	2112.800000	386.092864
16384	4447.000000	1048.464830
32768	8972.600000	845.502099
65536	16817.400000	1202.249683
131072	38539.200000	3851.778511
262144	89205.400000	3594.712756
524288	194882.000000	4409.639554
1048576	428518.000000	0.000000
2097152	813708.000000	0.000000
4194304	1850555.000000	0.000000
8388608	3783155.000000	0.000000
