# open
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.000000	0.707107
2	0.800000	0.836660
4	1.200000	0.836660
8	1.600000	0.894427
16	2.600000	0.894427
32	3.800000	0.836660
64	7.600000	2.073644
128	16.400000	2.966479
256	27.200000	3.271085
512	47.600000	8.532292
1024	80.200000	12.255611
2048	160.600000	27.519084
4096	304.400000	18.229098
8192	675.200000	79.190909
16384	1216.200000	132.931185
32768	2599.800000	364.717288
65536	5868.200000	917.486621
131072	14189.200000	1684.410194
262144	38598.400000	3707.206401
524288	95627.666667	5847.465890
1048576	220621.000000	nan
2097152	415592.000000	nan
4194304	881432.000000	nan
8388608	1848837.000000	nan
16777216	4191315.000000	nan
33554432	9810616.000000	nan
67108864	162653139.000000	nan
