# unordered
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.200000	0.836660
2	2.000000	1.732051
4	2.600000	1.140175
8	3.600000	0.894427
16	6.600000	2.509980
32	8.400000	0.547723
64	17.600000	1.341641
128	42.600000	10.014989
256	71.800000	11.256109
512	134.000000	7.810250
1024	253.800000	39.518350
2048	395.600000	29.262604
4096	725.800000	17.977764
8192	1737.800000	400.733328
16384	3137.400000	160.417580
32768	7536.800000	657.056086
65536	20626.400000	1068.712450
131072	49453.000000	1517.735978
262144	123063.600000	4382.455853
524288	275490.000000	4390.037813
1048576	603180.000000	nan
2097152	1041603.000000	nan
4194304	2145893.000000	nan
8388608	4508333.000000	nan
16777216	9890821.000000	nan
33554432	25057251.000000	nan
#67108864	609619318.000000	nan
