# size	new	old
5	6.000000	3.000000
10	6.000000	4.000000
20	9.000000	7.000000
40	14.000000	11.000000
80	22.000000	21.000000
160	41.000000	37.000000
320	84.000000	69.000000
640	163.000000	132.000000
1280	323.000000	260.000000
2560	629.000000	490.000000
5120	1234.000000	756.000000
10240	1676.000000	1504.000000
20480	3578.000000	3138.000000
40960	6981.000000	6085.000000
81920	16238.000000	11413.000000
163840	31409.000000	25841.000000
327680	63167.000000	50724.000000
655360	129292.000000	103820.000000
1310720	234328.000000	184825.000000
2621440	433865.000000	335610.000000
5242880	833531.000000	688913.000000
10485760	1648736.000000	1355944.000000
20971520	3282087.000000	2705046.000000
41943040	6556819.000000	5394322.000000
83886080	13123817.000000	10792420.000000
