# size	new	old
5	6.000000	5.000000
10	5.000000	4.000000
20	9.000000	8.000000
40	9.000000	10.000000
80	20.000000	14.000000
160	28.000000	24.000000
320	54.000000	48.000000
640	106.000000	90.000000
1280	212.000000	219.000000
2560	426.000000	353.000000
5120	1003.000000	846.000000
10240	1660.000000	1401.000000
20480	3666.000000	2936.000000
40960	6020.000000	5785.000000
81920	12421.000000	11114.000000
163840	24647.000000	20180.000000
327680	52575.000000	40287.000000
655360	97626.000000	83475.000000
1310720	203690.000000	167084.000000
2621440	401930.000000	334201.000000
5242880	793182.000000	659602.000000
10485760	1592483.000000	1321626.000000
20971520	3186057.000000	2671563.000000
41943040	6366093.000000	5296568.000000
83886080	12640674.000000	10582448.000000
