# size	new	old
5	13.000000	3.000000
10	3.000000	3.000000
20	5.000000	5.000000
40	7.000000	8.000000
80	15.000000	21.000000
160	70.000000	57.000000
320	59.000000	74.000000
640	151.000000	100.000000
1280	210.000000	219.000000
2560	522.000000	467.000000
5120	1366.000000	1101.000000
10240	2417.000000	2906.000000
20480	5661.000000	4726.000000
40960	11146.000000	9589.000000
81920	22969.000000	21831.000000
163840	46022.000000	38650.000000
327680	90998.000000	82303.000000
655360	184276.000000	161106.000000
