# tree-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.400000	0.894427
2	1.800000	0.447214
4	1.800000	0.836660
8	2.400000	0.547723
16	4.000000	0.000000
32	6.400000	0.547723
64	13.400000	0.547723
128	32.600000	0.547723
256	67.600000	18.283873
512	131.800000	13.827509
1024	235.600000	16.471187
2048	472.000000	11.045361
4096	982.600000	51.752295
8192	2214.000000	158.453463
16384	5234.600000	828.359403
32768	12596.600000	1004.809584
65536	24910.200000	1767.784404
131072	68483.600000	5242.168664
262144	162776.000000	5617.839131
524288	389192.200000	7870.764207
1048576	915124.400000	6980.414837
2097152	2084811.800000	6635.793110
4194304	4730610.800000	45641.546618
8388608	11040049.800000	319727.915157
