# trie-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.200000	2.280351
2	1.200000	0.447214
4	1.600000	0.547723
8	2.000000	0.707107
16	3.400000	0.547723
32	6.400000	2.190890
64	10.400000	0.894427
128	19.600000	0.894427
256	35.800000	4.324350
512	62.000000	4.183300
1024	133.600000	18.849403
2048	233.000000	5.099020
4096	465.800000	16.724234
8192	969.200000	110.422824
16384	2300.600000	354.158580
32768	4234.000000	719.523801
65536	9998.200000	403.677718
131072	21835.200000	710.951264
262144	51748.000000	1224.852440
524288	103377.800000	1553.211415
1048576	221938.800000	4368.187347
2097152	471161.400000	9027.165962
4194304	972534.400000	14045.172135
8388608	2095288.800000	82382.462367
