# table-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.400000	1.140175
2	2.000000	0.000000
4	2.200000	0.447214
8	2.600000	0.894427
16	5.800000	1.923538
32	8.000000	0.707107
64	23.000000	18.124569
128	25.600000	3.646917
256	35.400000	8.961027
512	62.000000	14.422205
1024	92.600000	23.712866
2048	191.000000	23.526581
4096	362.400000	20.366639
8192	754.800000	82.925871
16384	1543.800000	162.615190
32768	3107.200000	516.742876
65536	6708.400000	686.933257
131072	13416.800000	502.361125
262144	43354.600000	1928.023677
524288	104425.800000	3542.586724
1048576	235655.800000	5514.990453
2097152	496055.600000	14965.973550
4194304	1005878.600000	48774.686809
8388608	2208617.200000	62685.730543
