# table-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.400000	3.714835
2	1.600000	0.547723
4	1.800000	0.447214
8	1.600000	0.547723
16	3.200000	0.836660
32	4.000000	0.707107
64	7.800000	0.447214
128	13.800000	1.303840
256	20.200000	4.147288
512	40.200000	3.492850
1024	68.400000	6.542171
2048	111.600000	1.673320
4096	217.200000	31.807232
8192	499.000000	69.061567
16384	1176.400000	124.289179
32768	2258.800000	387.103604
65536	6249.000000	813.703570
131072	14301.400000	106.542480
262144	36667.000000	690.780356
524288	72206.800000	2008.171606
1048576	153842.800000	4770.188801
2097152	322660.000000	10392.016142
4194304	676045.200000	25162.335190
8388608	1388287.200000	39289.206173
