# tree-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.200000	1.643168
2	0.800000	0.836660
4	1.200000	0.836660
8	1.600000	0.547723
16	2.400000	0.547723
32	5.400000	1.140175
64	10.800000	1.303840
128	33.600000	4.277850
256	73.400000	18.392933
512	133.400000	17.952716
1024	233.400000	18.822858
2048	502.400000	58.930468
4096	1012.000000	112.822870
8192	2133.600000	47.804811
16384	4839.800000	197.385916
32768	11754.200000	1228.469251
65536	24967.200000	1888.420425
131072	69631.200000	5703.681723
262144	161644.200000	2249.037505
524288	386236.800000	6089.099457
1048576	894537.200000	6592.688010
2097152	2101934.600000	44286.529321
4194304	4731875.400000	65066.550026
8388608	10727937.400000	28195.045545
