# tree-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.200000	0.836660
2	1.200000	0.836660
4	1.200000	1.095445
8	1.200000	0.836660
16	2.400000	1.341641
32	6.200000	4.381780
64	9.000000	1.581139
128	21.400000	4.449719
256	42.400000	1.673320
512	72.800000	9.338094
1024	123.800000	8.043631
2048	229.000000	22.538855
4096	511.200000	70.549274
8192	1071.800000	157.847078
16384	2041.400000	87.577394
32768	4849.600000	745.678751
65536	10410.000000	1643.858418
131072	22632.000000	1059.234865
262144	48000.200000	967.380329
524288	100748.000000	2080.905572
1048576	218301.000000	2496.194704
2097152	444061.800000	4071.021886
4194304	933162.600000	3029.031660
8388608	1957359.600000	15190.752262
