# trie-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.600000	1.341641
2	1.000000	1.000000
4	1.400000	0.894427
8	2.600000	0.547723
16	5.200000	1.095445
32	9.200000	0.836660
64	26.000000	6.284903
128	52.000000	3.937004
256	110.800000	4.438468
512	241.000000	29.664794
1024	410.400000	35.111252
2048	769.800000	39.549968
4096	1571.400000	110.559034
8192	3463.400000	145.634131
16384	6976.000000	129.263297
32768	15320.800000	492.100295
65536	36060.600000	1785.621964
131072	86705.200000	2891.209211
262144	187438.200000	3509.624724
524288	441859.200000	3869.739875
1048576	1054871.600000	8049.028935
2097152	2470008.800000	19125.421543
4194304	5676575.200000	119465.782271
8388608	12758818.000000	127900.080948
