# trie-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.000000	0.707107
2	1.000000	1.000000
4	1.400000	0.547723
8	1.600000	0.547723
16	2.400000	0.894427
32	3.600000	0.894427
64	8.800000	0.836660
128	16.400000	1.816590
256	33.000000	3.674235
512	70.400000	16.334014
1024	131.800000	21.194339
2048	242.200000	40.350960
4096	484.000000	58.348093
8192	906.200000	52.088386
16384	2270.600000	399.749046
32768	4889.800000	715.984078
65536	11821.000000	505.039602
131072	21827.200000	1897.107456
262144	49097.800000	2445.643821
524288	106525.600000	4370.011705
1048576	227051.600000	6893.711359
2097152	471322.800000	4884.920337
4194304	967122.400000	9898.545186
8388608	1998825.400000	9205.366983
