# closed
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.000000	5.099020
2	0.800000	0.447214
4	1.800000	0.447214
8	2.000000	1.000000
16	2.800000	0.836660
32	4.400000	0.547723
64	11.600000	8.111720
128	13.400000	1.673320
256	29.400000	10.968136
512	39.400000	5.941380
1024	62.400000	3.361547
2048	118.400000	8.905055
4096	214.200000	1.643168
8192	539.400000	121.467280
16384	1037.000000	214.245187
32768	2242.000000	327.532441
65536	5050.000000	657.429464
131072	16577.200000	1017.900388
262144	42897.000000	5387.797184
524288	108710.666667	9645.992138
1048576	270577.000000	nan
2097152	574366.000000	nan
4194304	1353384.000000	nan
8388608	2466048.000000	nan
16777216	5372245.000000	nan
33554432	12485093.000000	nan
#67108864	108263669.000000	nan
