tree-add
# size	time µs	stddev µs
2	3.000000	1.000000
4	2.000000	0.000000
8	1.666667	1.154701
16	3.333333	1.527525
32	5.666667	2.081666
64	13.000000	2.645751
128	45.666667	29.737743
256	71.666667	10.692677
512	178.000000	63.379808
1024	324.666667	36.678786
2048	715.000000	86.504335
4096	1476.666667	85.406869
8192	3139.000000	113.859563
16384	6940.333333	268.556015
32768	16477.333333	2170.148920
65536	34379.666667	2091.345580
131072	86473.000000	11057.182146
262144	180287.666667	12143.264649
524288	453530.666667	16569.934892
1048576	1076790.666667	66366.303621
2097152	2503415.666667	160348.009717
4194304	5703179.333333	530036.254849
