tree-look
# size	time µs	stddev µs
2	1.333333	0.577350
4	1.333333	0.577350
8	1.333333	0.577350
16	3.666667	1.154701
32	6.666667	1.527525
64	14.333333	2.516611
128	32.333333	6.658328
256	70.333333	11.372481
512	156.666667	32.578111
1024	310.666667	32.868425
2048	697.000000	103.590540
4096	1452.000000	80.727938
8192	3108.666667	191.218026
16384	7165.333333	407.107275
32768	15584.000000	562.061385
65536	34545.666667	1975.433201
131072	82820.000000	4295.748945
262144	213655.666667	12936.353440
524288	532966.333333	28889.422309
1048576	1216471.000000	92929.558941
2097152	2948194.000000	515385.964303
4194304	6444242.333333	868612.314725
