tree-prefix
# size	time µs	stddev µs
2	2.666667	1.527525
4	3.000000	0.000000
8	4.000000	1.000000
16	5.666667	1.154701
32	7.000000	1.000000
64	7.666667	1.154701
128	11.000000	1.732051
256	11.666667	2.081666
512	15.000000	6.082763
1024	13.000000	1.732051
2048	14.333333	1.154701
4096	15.666667	1.154701
8192	17.000000	1.000000
16384	18.666667	0.577350
32768	20.000000	1.000000
65536	19.333333	1.527525
131072	23.333333	2.516611
262144	29.666667	6.350853
524288	29.333333	0.577350
1048576	32.333333	1.527525
2097152	39.666667	7.505553
4194304	38.333333	5.507571
