trie-add
# size	time µs	stddev µs
2	4.666667	1.527525
4	2.000000	1.000000
8	4.333333	2.309401
16	7.000000	1.000000
32	14.333333	2.309401
64	32.000000	6.244998
128	69.333333	11.930353
256	153.333333	27.970222
512	347.000000	87.880601
1024	693.666667	85.007843
2048	1538.666667	176.420898
4096	3110.333333	260.002564
8192	7096.666667	669.925618
16384	15023.666667	728.286574
32768	28528.333333	1923.174806
65536	55807.666667	2607.480073
131072	117684.333333	14616.367036
262144	244337.333333	12840.450200
524288	514561.000000	24858.789532
1048576	1097005.333333	47271.504464
2097152	2277468.333333	159641.449659
4194304	4689947.333333	471063.908549
