trie-look
# size	time µs	stddev µs
2	4.333333	4.932883
4	1.000000	0.000000
8	1.666667	0.577350
16	2.666667	0.577350
32	6.000000	1.000000
64	13.000000	2.000000
128	27.000000	4.358899
256	58.666667	10.016653
512	141.666667	37.647488
1024	276.000000	33.421550
2048	688.666667	121.203685
4096	1292.000000	77.948701
8192	2789.666667	142.829735
16384	6136.000000	543.693848
32768	13987.666667	712.775795
65536	29716.333333	2308.742154
131072	66783.000000	4742.901644
262144	143714.333333	9124.762043
524288	326234.000000	27559.137523
1048576	716769.666667	48407.285819
2097152	1620198.333333	33662.580269
4194304	4082865.000000	604243.179079
