trie-prefix
# size	time µs	stddev µs
2	7.666667	6.350853
4	3.666667	1.154701
8	5.000000	1.732051
16	5.000000	1.000000
32	5.666667	1.154701
64	5.000000	1.000000
128	5.000000	1.000000
256	5.000000	1.000000
512	5.666667	1.154701
1024	5.666667	0.577350
2048	6.000000	1.000000
4096	7.000000	1.000000
8192	7.666667	1.154701
16384	8.000000	1.000000
32768	10.000000	2.000000
65536	8.000000	1.000000
131072	9.000000	1.000000
262144	10.000000	1.000000
524288	9.000000	1.000000
1048576	8.666667	0.577350
2097152	9.333333	1.527525
4194304	11.000000	2.645751
