# tree-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.400000	0.894427
2	1.800000	0.447214
4	1.600000	0.547723
8	1.400000	0.547723
16	3.200000	0.836660
32	5.200000	0.447214
64	10.600000	0.547723
128	22.000000	0.707107
256	39.000000	6.000000
512	74.200000	9.576012
1024	132.200000	7.596052
2048	221.600000	1.816590
4096	512.200000	38.835551
8192	1096.000000	131.700418
16384	2216.600000	155.422971
32768	5250.200000	638.109473
65536	10921.400000	1714.220318
131072	23512.400000	1495.850360
262144	50213.600000	1519.026102
524288	106316.200000	1535.275773
1048576	223648.600000	3760.357270
2097152	463947.600000	3241.114361
4194304	975566.000000	15612.699751
8388608	2065260.200000	49675.015704
