# trie-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.600000	2.509980
2	1.800000	0.447214
4	2.200000	1.095445
8	3.000000	0.707107
16	6.000000	1.000000
32	12.800000	2.167948
64	32.400000	5.941380
128	60.200000	4.919350
256	116.400000	18.256506
512	257.000000	18.533753
1024	444.600000	25.442091
2048	811.600000	22.412050
4096	1675.000000	56.209430
8192	3852.800000	236.476637
16384	8410.200000	631.473436
32768	16998.000000	1001.736492
65536	43404.400000	1560.878695
131072	100526.600000	3541.746222
262144	238174.200000	7258.618856
524288	591453.800000	15303.706763
1048576	1406941.200000	13875.966856
2097152	3359061.800000	22346.539412
4194304	8015961.800000	67186.229807
8388608	19875266.000000	662766.379586
