# table-add
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.200000	1.095445
2	1.400000	0.547723
4	1.000000	0.707107
8	1.400000	0.547723
16	3.800000	2.489980
32	3.600000	0.894427
64	9.400000	4.277850
128	15.600000	2.607681
256	26.000000	6.782330
512	45.200000	13.899640
1024	68.000000	19.570386
2048	153.200000	39.047407
4096	284.200000	52.694402
8192	677.200000	112.232794
16384	1390.800000	249.873368
32768	3002.000000	773.937013
65536	5709.800000	1097.156188
131072	14813.400000	1870.667341
262144	33089.200000	6038.901531
524288	78612.200000	11013.623868
1048576	166203.000000	23307.896377
2097152	333506.800000	50587.132061
4194304	700431.200000	98071.290329
8388608	1486105.200000	237561.151455
