# table-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.200000	2.683282
2	1.200000	0.447214
4	0.600000	0.547723
8	1.600000	0.547723
16	2.600000	0.547723
32	3.200000	0.447214
64	7.600000	4.722288
128	15.200000	11.670476
256	24.000000	1.870829
512	38.800000	7.190271
1024	63.400000	6.580274
2048	118.800000	12.357184
4096	205.800000	6.610598
8192	587.200000	167.287776
16384	1131.200000	292.677638
32768	2404.000000	727.246863
65536	5407.600000	293.670393
131072	15466.600000	849.979294
262144	36959.600000	376.984482
524288	72217.600000	2361.838542
1048576	153669.200000	3715.901331
2097152	319895.600000	6125.388094
4194304	658680.600000	5872.516394
8388608	1358747.200000	16794.316991
