# trie-look
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	0.800000	0.836660
2	0.800000	0.447214
4	1.200000	0.447214
8	1.400000	0.547723
16	2.800000	1.483240
32	4.400000	0.547723
64	8.600000	1.341641
128	15.200000	1.643168
256	33.400000	3.361547
512	64.400000	11.802542
1024	123.400000	13.446189
2048	230.800000	11.861703
4096	457.600000	48.767817
8192	939.600000	128.089032
16384	1989.200000	337.655446
32768	3912.600000	489.667540
65536	11375.200000	574.251426
131072	22820.000000	2208.208663
262144	48852.800000	1933.949379
524288	105912.400000	3761.240793
1048576	227092.600000	6422.204006
2097152	468335.400000	5576.736528
4194304	977162.800000	9916.998195
8388608	2026001.200000	7390.421043
